MerchantName;PaymentChannel;Month;Count;MWST;Amount;Fee;Total
301001001 Ferratec AG;Swisscom;2019-10;13;0;290.0000;3.25;293.25
301001001 Ferratec AG;Twint;2019-10;2;0;210.0000;0.00;210.00
301001001 Ferratec AG;Swisscom;2019-11;14;0;300.0000;3.50;303.50
301001001 Ferratec AG;Twint;2019-11;1;0;50.0000;0.00;50.00
301001001 Ferratec AG;Swisscom;2019-12;8;0;230.0000;2.00;232.00
301003001 BVK (Pensionskasse);Swisscom;2019-12;1;0;50.0000;0.25;50.25
301006001 Basellandschaftliche Gebäu;Swisscom;2019-11;1;0;50.0000;0.25;50.25
301006001 Basellandschaftliche Gebäu;Swisscom;2019-12;1;0;50.0000;0.25;50.25
301010001 Franz Bucher, Immobilien-T;Swisscom;2019-11;1;0;50.0000;0.25;50.25
301014001 Seitzmeir Immobilien;Twint;2019-10;1;0;100.0000;0.00;100.00
301014001 Seitzmeir Immobilien;Twint;2019-11;1;0;50.0000;0.00;50.00
301014001 Seitzmeir Immobilien;Twint;2019-12;1;0;100.0000;0.00;100.00
301015001 Wiserliving Immobilien AG;Twint;2019-10;1;0;50.0000;0.00;50.00
301015001 Wiserliving Immobilien AG;Salt;2019-12;1;0;40.0000;0.25;40.25
301016001 Corporation Beromünster;Twint;2019-11;1;0;50.0000;0.00;50.00
Felber Sursee GmbH;Sunrise;2019-10;1;0;50.0000;0.25;50.25
Felber Sursee GmbH;Swisscom;2019-10;1;0;50.0000;0.25;50.25
Felber Sursee GmbH;Sunrise;2019-11;1;0;50.0000;0.25;50.25
Felber Sursee GmbH;Swisscom;2019-12;1;0;50.0000;0.25;50.25
