Date;Price;Operator;Status;Count
01.01.2020;\N;Salt;Error;213
01.01.2020;\N;Sunrise;Error;184
01.01.2020;\N;Swisscom;Error;390
01.01.2020;\N;Twint;Error;485
01.01.2020;0.00;Sunrise;OK;1
01.01.2020;0.00;Swisscom;OK;1
01.01.2020;0.00;Twint;OK;3
01.01.2020;0.80;Twint;OK;2
01.01.2020;1.00;Salt;OK;3
01.01.2020;1.00;Sunrise;OK;2
01.01.2020;1.00;Twint;OK;1
01.01.2020;1.20;Twint;OK;1
01.01.2020;1.40;Twint;OK;1
01.01.2020;1.50;Twint;OK;1
01.01.2020;1.60;Twint;OK;5
01.01.2020;1.70;Twint;OK;1
01.01.2020;1.80;Salt;OK;13
01.01.2020;1.80;Sunrise;OK;7
01.01.2020;1.80;Swisscom;OK;20
01.01.2020;1.80;Twint;OK;29
01.01.2020;1.90;Twint;OK;1
01.01.2020;2.00;Salt;Error;1
01.01.2020;2.00;Swisscom;Error;1
01.01.2020;2.00;Salt;OK;134
01.01.2020;2.00;Sunrise;OK;122
01.01.2020;2.00;Swisscom;OK;254
01.01.2020;2.00;Twint;OK;159
01.01.2020;2.20;Salt;OK;6
01.01.2020;2.20;Sunrise;OK;1
01.01.2020;2.20;Swisscom;OK;8
01.01.2020;2.20;Twint;OK;7
01.01.2020;2.40;Salt;OK;4
01.01.2020;2.40;Swisscom;OK;1
01.01.2020;2.40;Twint;OK;3
01.01.2020;2.50;Salt;Error;1
01.01.2020;2.50;Twint;Error;1
01.01.2020;2.50;Salt;OK;182
01.01.2020;2.50;Sunrise;OK;166
01.01.2020;2.50;Swisscom;OK;302
01.01.2020;2.50;Twint;OK;242
01.01.2020;2.60;Salt;OK;2
01.01.2020;2.60;Sunrise;OK;11
01.01.2020;2.60;Swisscom;OK;12
01.01.2020;2.60;Twint;OK;19
01.01.2020;2.70;Twint;OK;2
01.01.2020;2.80;Salt;OK;3
01.01.2020;2.80;Sunrise;OK;1
01.01.2020;2.80;Swisscom;OK;8
01.01.2020;2.80;Twint;OK;6
01.01.2020;2.90;Salt;Error;1
01.01.2020;2.90;Salt;OK;3
01.01.2020;2.90;Sunrise;OK;3
01.01.2020;2.90;Swisscom;OK;11
01.01.2020;2.90;Twint;OK;17
01.01.2020;3.00;Sunrise;Error;1
01.01.2020;3.00;Salt;OK;125
01.01.2020;3.00;Sunrise;OK;151
01.01.2020;3.00;Swisscom;OK;276
01.01.2020;3.00;Twint;OK;145
01.01.2020;3.05;Salt;OK;1
01.01.2020;3.10;Swisscom;OK;1
01.01.2020;3.10;Twint;OK;1
01.01.2020;3.20;Salt;OK;1
01.01.2020;3.20;Sunrise;OK;4
01.01.2020;3.20;Swisscom;OK;5
01.01.2020;3.20;Twint;OK;8
01.01.2020;3.50;Sunrise;Error;1
01.01.2020;3.50;Salt;OK;365
01.01.2020;3.50;Sunrise;OK;460
01.01.2020;3.50;Swisscom;OK;875
01.01.2020;3.50;Twint;OK;465
01.01.2020;3.60;Salt;OK;11
01.01.2020;3.60;Sunrise;OK;15
01.01.2020;3.60;Swisscom;OK;46
01.01.2020;3.60;Twint;OK;21
01.01.2020;3.90;Salt;OK;6
01.01.2020;3.90;Sunrise;OK;4
01.01.2020;3.90;Swisscom;OK;14
01.01.2020;3.90;Twint;OK;6
01.01.2020;4.00;Salt;OK;70
01.01.2020;4.00;Sunrise;OK;119
01.01.2020;4.00;Swisscom;OK;202
01.01.2020;4.00;Twint;OK;82
01.01.2020;4.20;Salt;OK;4
01.01.2020;4.20;Sunrise;OK;7
01.01.2020;4.20;Swisscom;OK;6
01.01.2020;4.20;Twint;OK;3
01.01.2020;4.40;Twint;OK;1
01.01.2020;4.50;Salt;OK;41
01.01.2020;4.50;Sunrise;OK;30
01.01.2020;4.50;Swisscom;OK;87
01.01.2020;4.50;Twint;OK;19
01.01.2020;4.70;Twint;OK;1
01.01.2020;4.90;Twint;OK;1
01.01.2020;5.00;Salt;OK;9
01.01.2020;5.00;Sunrise;OK;10
01.01.2020;5.00;Swisscom;OK;22
01.01.2020;5.00;Twint;OK;10
01.01.2020;5.10;Twint;OK;1
01.01.2020;5.40;Swisscom;OK;1
01.01.2020;5.40;Twint;OK;1
01.01.2020;5.50;Swisscom;OK;1
01.01.2020;5.50;Twint;OK;1
01.01.2020;6.00;Salt;OK;10
01.01.2020;6.00;Sunrise;OK;25
01.01.2020;6.00;Swisscom;OK;48
01.01.2020;6.00;Twint;OK;37
01.01.2020;6.50;Sunrise;OK;1
01.01.2020;6.50;Swisscom;OK;3
01.01.2020;6.90;Sunrise;OK;4
01.01.2020;6.90;Twint;OK;2
01.01.2020;7.00;Swisscom;OK;6
01.01.2020;7.00;Twint;OK;1
01.01.2020;7.60;Twint;OK;1
01.01.2020;8.40;Twint;OK;1
01.01.2020;8.90;Twint;OK;1
01.01.2020;9.00;Salt;OK;1
01.01.2020;9.00;Sunrise;OK;2
01.01.2020;9.00;Swisscom;OK;1
01.01.2020;9.50;Swisscom;OK;1
01.01.2020;10.50;Swisscom;OK;1
01.01.2020;18.00;Salt;OK;5
01.01.2020;18.00;Sunrise;OK;5
01.01.2020;18.00;Swisscom;OK;24
01.01.2020;18.00;Twint;OK;10
01.01.2020;19.00;Salt;OK;29
01.01.2020;19.00;Sunrise;OK;39
01.01.2020;19.00;Swisscom;OK;30
01.01.2020;19.00;Twint;OK;2
02.01.2020;\N;Salt;Error;148
02.01.2020;\N;Sunrise;Error;195
02.01.2020;\N;Swisscom;Error;371
02.01.2020;\N;Twint;Error;462
02.01.2020;0.00;Twint;OK;4
02.01.2020;0.30;Twint;OK;1
02.01.2020;0.50;Twint;OK;2
02.01.2020;0.70;Twint;OK;1
02.01.2020;0.80;Twint;OK;2
02.01.2020;0.90;Twint;OK;1
02.01.2020;1.00;Swisscom;OK;3
02.01.2020;1.00;Twint;OK;4
02.01.2020;1.20;Twint;OK;3
02.01.2020;1.30;Twint;OK;3
02.01.2020;1.40;Twint;OK;3
02.01.2020;1.50;Twint;OK;15
02.01.2020;1.60;Twint;OK;8
02.01.2020;1.70;Twint;OK;9
02.01.2020;1.80;Salt;OK;6
02.01.2020;1.80;Sunrise;OK;7
02.01.2020;1.80;Swisscom;OK;35
02.01.2020;1.80;Twint;OK;39
02.01.2020;2.00;Swisscom;Error;1
02.01.2020;2.00;Salt;OK;107
02.01.2020;2.00;Sunrise;OK;103
02.01.2020;2.00;Swisscom;OK;234
02.01.2020;2.00;Twint;OK;122
02.01.2020;2.20;Salt;OK;6
02.01.2020;2.20;Sunrise;OK;2
02.01.2020;2.20;Swisscom;OK;11
02.01.2020;2.20;Twint;OK;10
02.01.2020;2.30;Swisscom;OK;1
02.01.2020;2.30;Twint;OK;2
02.01.2020;2.40;Salt;OK;1
02.01.2020;2.40;Swisscom;OK;4
02.01.2020;2.40;Twint;OK;5
02.01.2020;2.50;Salt;OK;160
02.01.2020;2.50;Sunrise;OK;146
02.01.2020;2.50;Swisscom;OK;266
02.01.2020;2.50;Twint;OK;183
02.01.2020;2.60;Salt;Error;1
02.01.2020;2.60;Salt;OK;7
02.01.2020;2.60;Sunrise;OK;13
02.01.2020;2.60;Swisscom;OK;14
02.01.2020;2.60;Twint;OK;17
02.01.2020;2.70;Twint;OK;2
02.01.2020;2.80;Salt;OK;3
02.01.2020;2.80;Sunrise;OK;3
02.01.2020;2.80;Swisscom;OK;6
02.01.2020;2.80;Twint;OK;7
02.01.2020;2.90;Salt;OK;3
02.01.2020;2.90;Sunrise;OK;3
02.01.2020;2.90;Swisscom;OK;9
02.01.2020;2.90;Twint;OK;10
02.01.2020;3.00;Salt;OK;125
02.01.2020;3.00;Sunrise;OK;141
02.01.2020;3.00;Swisscom;OK;265
02.01.2020;3.00;Twint;OK;126
02.01.2020;3.10;Swisscom;OK;3
02.01.2020;3.20;Salt;OK;2
02.01.2020;3.20;Sunrise;OK;1
02.01.2020;3.20;Swisscom;OK;4
02.01.2020;3.20;Twint;OK;1
02.01.2020;3.40;Twint;OK;1
02.01.2020;3.50;Salt;Error;1
02.01.2020;3.50;Salt;OK;328
