Date;Price;Operator;Status;Count
01.10.2019;\N;Salt;Error;166
01.10.2019;\N;Sunrise;Error;158
01.10.2019;\N;Swisscom;Error;369
01.10.2019;\N;Twint;Error;620
01.10.2019;0.05;Twint;OK;3
01.10.2019;0.20;Twint;OK;2
01.10.2019;0.50;Twint;OK;3
01.10.2019;0.60;Twint;OK;2
01.10.2019;0.70;Twint;OK;24
01.10.2019;0.80;Twint;OK;21
01.10.2019;0.90;Twint;OK;27
01.10.2019;1.00;Swisscom;OK;3
01.10.2019;1.00;Twint;OK;51
01.10.2019;1.10;Twint;OK;28
01.10.2019;1.15;Twint;OK;1
01.10.2019;1.20;Twint;OK;25
01.10.2019;1.30;Twint;OK;17
01.10.2019;1.40;Twint;OK;3
01.10.2019;1.50;Salt;OK;1
01.10.2019;1.50;Twint;OK;65
01.10.2019;1.55;Twint;OK;1
01.10.2019;1.60;Salt;OK;1
01.10.2019;1.60;Twint;OK;60
01.10.2019;1.70;Twint;OK;4
01.10.2019;1.80;Salt;OK;16
01.10.2019;1.80;Sunrise;OK;12
01.10.2019;1.80;Swisscom;OK;43
01.10.2019;1.80;Twint;OK;202
01.10.2019;1.90;Swisscom;OK;1
01.10.2019;1.90;Twint;OK;6
01.10.2019;2.00;Salt;OK;111
01.10.2019;2.00;Sunrise;OK;144
01.10.2019;2.00;Swisscom;OK;289
01.10.2019;2.00;Twint;OK;166
01.10.2019;2.10;Twint;OK;1
01.10.2019;2.20;Salt;OK;1
01.10.2019;2.20;Swisscom;OK;1
01.10.2019;2.20;Twint;OK;10
01.10.2019;2.30;Twint;OK;5
01.10.2019;2.40;Twint;OK;20
01.10.2019;2.50;Salt;OK;159
01.10.2019;2.50;Sunrise;OK;170
01.10.2019;2.50;Swisscom;OK;377
01.10.2019;2.50;Twint;OK;225
01.10.2019;2.60;Swisscom;OK;1
01.10.2019;2.60;Twint;OK;6
01.10.2019;2.70;Twint;OK;7
01.10.2019;2.80;Swisscom;OK;1
01.10.2019;2.80;Twint;OK;8
01.10.2019;2.90;Sunrise;OK;2
01.10.2019;2.90;Swisscom;OK;2
01.10.2019;2.90;Twint;OK;48
01.10.2019;3.00;Salt;OK;199
01.10.2019;3.00;Sunrise;OK;190
01.10.2019;3.00;Swisscom;OK;453
01.10.2019;3.00;Twint;OK;162
01.10.2019;3.20;Twint;OK;16
01.10.2019;3.30;Twint;OK;5
01.10.2019;3.40;Sunrise;OK;2
01.10.2019;3.40;Twint;OK;4
01.10.2019;3.50;Salt;OK;433
01.10.2019;3.50;Sunrise;OK;516
01.10.2019;3.50;Swisscom;OK;1082
01.10.2019;3.50;Twint;OK;327
01.10.2019;3.60;Twint;OK;1
01.10.2019;3.70;Twint;OK;1
01.10.2019;3.80;Twint;OK;2
01.10.2019;3.90;Twint;OK;2
01.10.2019;4.00;Salt;OK;71
01.10.2019;4.00;Sunrise;Error;1
01.10.2019;4.00;Sunrise;OK;101
01.10.2019;4.00;Swisscom;OK;195
01.10.2019;4.00;Twint;OK;64
01.10.2019;4.10;Twint;OK;1
01.10.2019;4.20;Twint;OK;1
01.10.2019;4.40;Twint;OK;2
01.10.2019;4.50;Salt;OK;68
01.10.2019;4.50;Sunrise;OK;64
01.10.2019;4.50;Swisscom;OK;114
01.10.2019;4.50;Twint;OK;25
01.10.2019;5.00;Salt;OK;16
01.10.2019;5.00;Sunrise;OK;16
01.10.2019;5.00;Swisscom;OK;28
01.10.2019;5.00;Twint;OK;10
01.10.2019;5.20;Twint;OK;1
01.10.2019;5.40;Sunrise;OK;2
01.10.2019;5.40;Twint;OK;3
01.10.2019;5.50;Twint;OK;3
01.10.2019;5.60;Twint;OK;1
01.10.2019;5.80;Twint;OK;4
01.10.2019;6.00;Salt;OK;1
01.10.2019;6.00;Sunrise;OK;7
01.10.2019;6.00;Swisscom;OK;22
01.10.2019;6.00;Twint;OK;7
01.10.2019;6.10;Twint;OK;1
01.10.2019;6.50;Salt;OK;1
01.10.2019;6.50;Sunrise;OK;2
01.10.2019;6.50;Twint;OK;3
01.10.2019;7.00;Salt;OK;1
01.10.2019;7.40;Twint;OK;2
01.10.2019;7.50;Swisscom;OK;1
01.10.2019;7.50;Twint;OK;1
01.10.2019;7.90;Twint;OK;2
01.10.2019;8.00;Swisscom;OK;2
01.10.2019;8.10;Twint;OK;1
01.10.2019;8.20;Salt;OK;1
01.10.2019;8.50;Salt;OK;1
01.10.2019;9.00;Twint;OK;2
01.10.2019;9.50;Twint;OK;1
01.10.2019;10.00;Swisscom;OK;2
01.10.2019;10.50;Swisscom;OK;3
01.10.2019;11.00;Swisscom;OK;1
01.10.2019;11.80;Twint;OK;1
01.10.2019;18.00;Salt;OK;4
01.10.2019;18.00;Sunrise;OK;9
01.10.2019;18.00;Swisscom;OK;15
01.10.2019;18.00;Twint;OK;2
01.10.2019;19.00;Salt;OK;29
01.10.2019;19.00;Sunrise;OK;52
01.10.2019;19.00;Swisscom;OK;41
01.10.2019;19.00;Twint;OK;1
01.10.2019;20.00;Twint;OK;24
01.10.2019;40.00;Twint;OK;33
01.11.2019;\N;Salt;Error;211
01.11.2019;\N;Sunrise;Error;195
01.11.2019;\N;Swisscom;Error;440
01.11.2019;\N;Twint;Error;865
01.11.2019;0.00;Salt;Error;1
01.11.2019;0.00;Twint;OK;6
01.11.2019;0.05;Twint;OK;2
01.11.2019;0.40;Twint;OK;1
01.11.2019;0.50;Twint;OK;4
01.11.2019;0.60;Twint;OK;4
01.11.2019;0.70;Twint;OK;18
01.11.2019;0.80;Twint;OK;21
01.11.2019;0.90;Swisscom;OK;1
01.11.2019;0.90;Twint;OK;17
01.11.2019;1.00;Salt;OK;5
01.11.2019;1.00;Sunrise;OK;9
01.11.2019;1.00;Swisscom;OK;7
01.11.2019;1.00;Twint;OK;40
01.11.2019;1.05;Twint;OK;1
01.11.2019;1.10;Sunrise;OK;2
01.11.2019;1.10;Twint;OK;12
01.11.2019;1.20;Twint;OK;5
01.11.2019;1.30;Twint;OK;7
01.11.2019;1.40;Twint;OK;26
01.11.2019;1.50;Twint;OK;43
01.11.2019;1.55;Twint;OK;1
01.11.2019;1.60;Twint;OK;58
01.11.2019;1.65;Twint;OK;2
01.11.2019;1.70;Twint;OK;6
01.11.2019;1.80;Salt;OK;12
01.11.2019;1.80;Sunrise;OK;7
01.11.2019;1.80;Swisscom;OK;49
01.11.2019;1.80;Twint;OK;221
01.11.2019;1.90;Twint;OK;3
01.11.2019;2.00;Salt;OK;147
01.11.2019;2.00;Sunrise;OK;131
01.11.2019;2.00;Swisscom;OK;285
01.11.2019;2.00;Twint;OK;219
01.11.2019;2.10;Twint;OK;1
01.11.2019;2.20;Salt;OK;3
01.11.2019;2.20;Sunrise;OK;5
01.11.2019;2.20;Swisscom;OK;3
01.11.2019;2.20;Twint;OK;20
01.11.2019;2.30;Twint;OK;2
01.11.2019;2.40;Sunrise;OK;1
